Departamentos;ventas_mañana;ventas_tarde;ventas_noche;ventas_totales;igv;transaccion_total;codigo_producto;membresia;tipo_atencion;tipo_clientes;cantidad_deboluciones
Lambayeque;6522;1811;5188;13521;2433.78;30;GXZH7S;NO;exepcional;leales ;25
Cuzco;9778;2916;7365;20059;3610.62;29;4WSEEX;SI;buena;leales ;57
Junin;7739;4579;5753;18071;3252.78;28;W8W4EI;NO;buena;leales ;31
Ica;2872;4001;3053;9926;1786.68;19;XWIWZZ;SI;deficiente;leales ;20
Junin;1552;4906;6204;12662;2279.16;28;P4XDDB;NO;deficiente;indecisos;45
Huancavelica;3001;3041;6522;12564;2261.52;7;7HHAIS;NO;estandar;indecisos;26
Lambayeque;4695;4887;3471;13053;2349.54;28;7W374I;NO;exelente ;indecisos;59
Puno;9539;4452;6003;19994;3598.92;5;DMW4PW;SI;exepcional;indecisos;59
Lima;8574;3108;4526;16208;2917.44;42;Z7WDZ7;NO;estandar;indecisos;63
Amazonas;1386;2532;7308;11226;2020.68;16;M4HIZQ;SI;estandar;exigentes;55
Arequipa;9264;2089;3838;15191;2734.38;7;DY3WMA;SI;exelente ;indecisos;35
Madre de Dios;6108;3648;4522;14278;2570.04;20;MM73GA;SI;exelente ;indecisos;35
Lambayeque;5306;2103;3827;11236;2022.48;20;MHSG7B;SI;exepcional;leales ;39
San Martin;9293;3567;4189;17049;3068.82;15;WZQH4S;SI;exelente ;leales ;69
Ayacucho;5848;4380;5749;15977;2875.86;49;7M4QA4;SI;exelente ;indecisos;54
Lambayeque;3258;3913;7725;14896;2681.28;9;HIH74P;SI;deficiente;exigentes;31
Apurimac;9849;4192;2427;16468;2964.24;9;YQW7PM;SI;exelente ;leales ;53
Lima;8246;1486;2459;12191;2194.38;15;AMG7XW;NO;estandar;leales ;59
Ica;3643;4101;2774;10518;1893.24;22;BIC8G3;NO;exelente ;leales ;76
Amazonas;3472;960;4505;8937;1608.66;25;QPMGWI;NO;exelente ;indecisos;75
Cuzco;7959;2514;4201;14674;2641.32;13;7Y7QSS;NO;estandar;exigentes;41
Ica;3413;4917;2616;10946;1970.28;42;YXZ87B;NO;exepcional;indecisos;42
Huanuco;9324;4533;4723;18580;3344.4;2;GGDWBG;SI;deficiente;indecisos;58
Loreto;1727;1559;3832;7118;1281.24;39;MY4Q8H;SI;buena;indecisos;20
Ica;7740;1490;1148;10378;1868.04;25;WQ3AYS;NO;estandar;exigentes;50
Apurimac;3055;1845;4826;9726;1750.68;23;D7EHQE;SI;estandar;exigentes;58
Junin;3551;4578;4046;12175;2191.5;35;WWWHMZ;NO;buena;leales ;39
Moquegua;4501;1076;7455;13032;2345.76;32;AMSQDI;SI;estandar;leales ;42
Cajamarca;3579;2740;2931;9250;1665;30;YAC7MC;SI;buena;indecisos;23
Madre de Dios;4797;2584;7767;15148;2726.64;19;GB8IQM;NO;exepcional;exigentes;57
Loreto;9270;2459;4821;16550;2979;38;ZIMEZX;NO;estandar;leales ;70
Huanuco;2916;2686;3609;9211;1657.98;12;BWCCGW;NO;buena;indecisos;61
Lambayeque;2432;2461;4085;8978;1616.04;18;A8GMYZ;NO;exepcional;leales ;37
Huancavelica;1875;1399;1429;4703;846.54;4;Y87MG7;SI;deficiente;exigentes;75
Lima;1542;3419;7092;12053;2169.54;13;ZQ3SY3;NO;exelente ;leales ;64
Arequipa;2934;3627;2410;8971;1614.78;14;QMSZAS;NO;deficiente;leales ;69
Puno;6241;3010;6685;15936;2868.48;12;D3XGMB;NO;exelente ;leales ;80
Lima;9623;2945;6826;19394;3490.92;13;HAS7AC;NO;deficiente;indecisos;72
Lima;5102;2328;6906;14336;2580.48;41;EMXMG4;NO;estandar;indecisos;56
Loreto;6625;4703;5134;16462;2963.16;2;7ABXSI;NO;deficiente;leales ;41
Ancash;9581;2270;6054;17905;3222.9;19;Y3PZEY;NO;deficiente;indecisos;70
Junin;5047;3989;7243;16279;2930.22;25;84MAGY;SI;buena;leales ;48
Madre de Dios;3911;3928;5516;13355;2403.9;45;CBEXAX;NO;estandar;indecisos;61
Ica;7678;1683;4951;14312;2576.16;45;EXCSHG;NO;buena;leales ;23
Puno;5300;4238;4184;13722;2469.96;24;YBZ3WP;NO;estandar;leales ;25
Moquegua;3031;1010;3827;7868;1416.24;21;QIS47Y;NO;exepcional;indecisos;37
Lima;5677;1950;5134;12761;2296.98;44;A4DQAQ;NO;estandar;indecisos;33
Lambayeque;7523;1429;4767;13719;2469.42;41;E83CWP;NO;exelente ;exigentes;64
Tacna;2861;3749;1713;8323;1498.14;27;X4ZAMB;NO;deficiente;exigentes;53
Apurimac;8339;1540;1035;10914;1964.52;31;PG7E3X;SI;exepcional;indecisos;68
Loreto;6089;2756;5350;14195;2555.1;48;CD3Q4Z;NO;exepcional;indecisos;72
Ica;7833;4835;5566;18234;3282.12;45;BWIAWM;SI;deficiente;leales ;25
Ucayali;2626;1484;3275;7385;1329.3;30;GB3DZW;SI;deficiente;exigentes;65
Tacna;7846;4154;6145;18145;3266.1;26;YAZ3DA;NO;deficiente;exigentes;39
Tacna;3648;3795;6553;13996;2519.28;39;YSIBQ7;SI;exepcional;leales ;28
Cuzco;9516;4456;7039;21011;3781.98;27;YAX74C;NO;deficiente;indecisos;23
La Libertad;9762;3661;2331;15754;2835.72;34;8DIBED;NO;exelente ;indecisos;21
Arequipa;6218;1588;5768;13574;2443.32;25;W8XZC7;NO;buena;leales ;61
Loreto;7039;4860;5240;17139;3085.02;17;QXM3HH;SI;estandar;exigentes;32
Ayacucho;9064;3616;5362;18042;3247.56;29;ZSABIB;SI;exelente ;leales ;58
Loreto;2603;4267;2946;9816;1766.88;18;DE4E3M;SI;deficiente;leales ;61
Cajamarca;9844;3850;2164;15858;2854.44;37;A4QGCC;SI;buena;leales ;70
Puno;6041;3900;3973;13914;2504.52;46;73PBPB;NO;deficiente;leales ;79
Tacna;9692;3758;5721;19171;3450.78;35;BE77HS;SI;buena;exigentes;58
Lima;3796;1973;3529;9298;1673.64;42;P3MDSA;SI;buena;leales ;32
Apurimac;3818;2082;3193;9093;1636.74;18;I44HWG;SI;buena;leales ;46
Arequipa;3347;1993;3834;9174;1651.32;33;WCMBSY;NO;estandar;leales ;29
Junin;1667;3801;2535;8003;1440.54;18;HQHPBI;SI;exepcional;leales ;69
Cajamarca;9859;2171;2666;14696;2645.28;22;4SQQGQ;SI;deficiente;leales ;56
Arequipa;6546;1253;6945;14744;2653.92;49;3CCZY7;SI;estandar;indecisos;46
Arequipa;9007;3462;5267;17736;3192.48;43;ZQMCGC;NO;exelente ;leales ;49
Tumbes;7647;3332;2488;13467;2424.06;27;PHE4QB;NO;estandar;indecisos;57
Cuzco;9770;4627;4478;18875;3397.5;50;SACDDS;SI;exelente ;leales ;60
San Martin;5410;3972;2143;11525;2074.5;2;HEHG83;NO;deficiente;indecisos;68
Cuzco;6887;2194;2519;11600;2088;3;34PGHB;NO;exepcional;leales ;73
Tumbes;7583;4964;4176;16723;3010.14;32;MPMGQE;NO;estandar;indecisos;34
Piura;2035;2041;1850;5926;1066.68;6;8SDAPW;SI;exelente ;exigentes;67
Lima;5512;1556;4154;11222;2019.96;17;7GYSWE;SI;deficiente;indecisos;57
Madre de Dios;4199;2509;5540;12248;2204.64;39;E388PZ;NO;exepcional;leales ;50
Cajamarca;7616;2102;1029;10747;1934.46;34;8D3QMD;NO;estandar;exigentes;62
Cuzco;8656;4254;2346;15256;2746.08;50;QXBXQ7;NO;buena;indecisos;24
Junin;7805;4030;5067;16902;3042.36;20;SWCBAB;NO;estandar;leales ;56
Moquegua;2430;4277;4625;11332;2039.76;33;84CZ8W;SI;exelente ;indecisos;75
Cajamarca;2648;1351;5312;9311;1675.98;37;WBCIP7;NO;estandar;indecisos;24
San Martin;3013;2882;2745;8640;1555.2;20;S4CBBB;NO;deficiente;indecisos;20
Apurimac;1141;2325;7096;10562;1901.16;44;HWBASQ;NO;buena;indecisos;39
Amazonas;4917;3860;2005;10782;1940.76;31;Z3YZBM;NO;exepcional;leales ;35
San Martin;5784;3852;7834;17470;3144.6;50;77QM88;SI;deficiente;exigentes;45
Pasco;2233;3267;5679;11179;2012.22;16;YMWCDP;SI;exelente ;indecisos;52
Tumbes;5215;3594;1333;10142;1825.56;30;8PHEHS;SI;buena;indecisos;64
Ucayali;3939;2212;1351;7502;1350.36;33;MBZHMP;NO;estandar;exigentes;69
Pasco;7763;4242;5443;17448;3140.64;21;EGMBGA;NO;exelente ;leales ;70
Tumbes;7205;1883;4858;13946;2510.28;13;S88XBA;NO;estandar;indecisos;27
Lambayeque;6905;3489;5680;16074;2893.32;15;WSP8HG;NO;exepcional;leales ;64
Tumbes;2176;955;1342;4473;805.14;14;3WCMES;SI;buena;leales ;56
Moquegua;7421;4144;1716;13281;2390.58;4;BMXA4M;SI;exelente ;exigentes;77
Ica;9518;4386;4308;18212;3278.16;31;QYGYZM;SI;exelente ;indecisos;70
San Martin;4915;1423;5110;11448;2060.64;40;XB8D8A;NO;deficiente;leales ;62
Moquegua;8344;4213;7385;19942;3589.56;39;IEDM8P;NO;deficiente;exigentes;59
Cuzco;4091;4861;7450;16402;2952.36;35;ZPIEII;SI;estandar;leales ;54
Lima;1209;2828;1446;5483;986.94;15;4ZS3HP;SI;exelente ;indecisos;34
Huancavelica;9053;4087;4643;17783;3200.94;37;XC8E7P;NO;buena;leales ;46
Huanuco;2411;1127;4361;7899;1421.82;40;IIP3WW;NO;exepcional;leales ;23
Piura;2876;3807;3904;10587;1905.66;23;GZ4G8Y;SI;buena;leales ;69
Apurimac;7785;3066;6777;17628;3173.04;17;C3YWS3;NO;exepcional;exigentes;69
Lima;1627;1954;5954;9535;1716.3;46;38CQDS;SI;deficiente;exigentes;56
Piura;3583;2601;4829;11013;1982.34;42;EE3D7Y;NO;deficiente;indecisos;71
Cajamarca;2290;2492;5533;10315;1856.7;2;H8Q7A8;NO;buena;exigentes;30
Piura;9859;1261;6037;17157;3088.26;27;YI7CMB;SI;estandar;indecisos;53
Lima;5158;3244;2004;10406;1873.08;42;WEBS7S;NO;estandar;exigentes;59
Tumbes;1017;2669;7506;11192;2014.56;13;HQMXBB;SI;buena;exigentes;43
Piura;3568;3998;7094;14660;2638.8;13;7BMXSX;SI;deficiente;exigentes;40
Huancavelica;4610;2750;4238;11598;2087.64;21;8Y3IY3;NO;exelente ;exigentes;38
Huanuco;9927;1814;1091;12832;2309.76;19;8HSZA8;SI;buena;indecisos;58
Ancash;8071;4903;7463;20437;3678.66;4;3EPICX;SI;exepcional;leales ;77
Tumbes;5996;2175;3024;11195;2015.1;27;ADH7ZA;SI;estandar;exigentes;28
Ancash;6808;2560;7903;17271;3108.78;17;PC4CMP;SI;exelente ;indecisos;24
Cajamarca;1928;2956;6274;11158;2008.44;12;PQ8SIC;SI;exelente ;indecisos;64
Madre de Dios;1530;2121;4412;8063;1451.34;47;Q7IEEM;SI;exelente ;indecisos;77
Huancavelica;2690;961;2652;6303;1134.54;32;X8AHW7;NO;estandar;exigentes;36
Ucayali;6397;3667;1917;11981;2156.58;22;PQBPEW;SI;exepcional;leales ;25
Cajamarca;5575;3938;967;10480;1886.4;37;QCS77Z;NO;buena;exigentes;60
Cuzco;1017;4545;5981;11543;2077.74;49;3XS843;SI;deficiente;leales ;61
Junin;3989;3649;2470;10108;1819.44;18;DDZBSQ;SI;exepcional;indecisos;43
Arequipa;7891;3887;6848;18626;3352.68;12;EQ8PQA;NO;estandar;leales ;67
Lima;1677;3787;1858;7322;1317.96;15;Y4HDPX;SI;exelente ;indecisos;72
Tacna;5409;3361;6719;15489;2788.02;3;83PEGS;NO;estandar;indecisos;34
Tacna;8531;2900;6503;17934;3228.12;11;ICIXXW;NO;deficiente;exigentes;56
Huanuco;3250;1590;1139;5979;1076.22;15;DH7Y8I;SI;buena;indecisos;32
Lima;2147;4122;7418;13687;2463.66;20;47SCCP;SI;estandar;leales ;64
Puno;8947;939;2135;12021;2163.78;47;M3EAZ4;SI;estandar;exigentes;27
La Libertad;7586;3739;1475;12800;2304;18;YX7WZA;NO;exelente ;indecisos;58
Pasco;5518;4592;7890;18000;3240;34;ZEI4ZC;SI;exelente ;indecisos;71
Lima;4361;1046;3890;9297;1673.46;11;4XZIBB;SI;exelente ;indecisos;74
Loreto;6641;1085;6702;14428;2597.04;23;3IXMP3;NO;estandar;exigentes;74
Lambayeque;9841;3430;6038;19309;3475.62;41;PY3AHM;SI;exelente ;indecisos;75
Huanuco;1313;2430;6185;9928;1787.04;42;MAMHGG;SI;buena;leales ;40
Ancash;2940;2452;1300;6692;1204.56;49;8B8E4W;SI;exepcional;indecisos;33
Junin;7185;1476;5705;14366;2585.88;14;X3QY8W;NO;exelente ;indecisos;77
Ica;1602;3081;1225;5908;1063.44;43;HXSAZY;SI;estandar;exigentes;79
Madre de Dios;5990;2941;7589;16520;2973.6;29;AXQEWW;NO;exelente ;leales ;57
Amazonas;7927;3535;2840;14302;2574.36;28;4QCA4I;SI;exelente ;leales ;63
Arequipa;2453;3011;4642;10106;1819.08;33;EZ43B7;SI;exelente ;exigentes;43
Moquegua;6243;4260;6853;17356;3124.08;17;4CMGGC;NO;exepcional;indecisos;50
Lambayeque;8706;940;2617;12263;2207.34;50;H8GQBH;SI;exepcional;exigentes;39
Junin;1203;3516;4909;9628;1733.04;26;HYMWDH;SI;exelente ;indecisos;75
San Martin;3324;4619;5733;13676;2461.68;43;WX73HM;SI;exelente ;exigentes;70
Piura;3894;4231;2248;10373;1867.14;30;QEPHWS;NO;estandar;exigentes;70
Lima;7241;3459;7339;18039;3247.02;38;AZXD7D;NO;estandar;leales ;31
Madre de Dios;2403;3157;2992;8552;1539.36;24;7QA4ZM;SI;deficiente;exigentes;78
Lima;4864;1654;1682;8200;1476;44;QHEQQC;SI;exepcional;leales ;65
Ica;4635;2148;2321;9104;1638.72;28;4GMXWS;SI;buena;indecisos;54
Madre de Dios;9168;4608;7793;21569;3882.42;12;3WXCWQ;SI;buena;indecisos;76
Ayacucho;9720;4931;6404;21055;3789.9;14;MGXIDH;NO;deficiente;indecisos;25
Junin;2335;1173;2441;5949;1070.82;13;DEQSZQ;SI;estandar;indecisos;53
Ucayali;2557;4319;4762;11638;2094.84;30;8WG3Y3;NO;exelente ;leales ;65
Ucayali;3001;3229;7897;14127;2542.86;12;ZHXBQD;NO;estandar;exigentes;79
Tacna;8204;2901;4246;15351;2763.18;15;XSABP3;NO;buena;leales ;40
Loreto;4282;2284;6421;12987;2337.66;3;PIY3YZ;NO;estandar;leales ;52
Lima;3097;2271;4347;9715;1748.7;3;8MAQ4G;SI;deficiente;leales ;38
San Martin;2954;3783;3542;10279;1850.22;41;8SXYSW;NO;exepcional;exigentes;66
Lambayeque;4399;1641;1216;7256;1306.08;13;XCSB8B;NO;exelente ;exigentes;31
Lima;7396;1362;7002;15760;2836.8;37;3HEYGE;NO;estandar;leales ;39
Huancavelica;1574;4404;5124;11102;1998.36;50;43DP8E;SI;exepcional;exigentes;78
Tumbes;9543;4410;3000;16953;3051.54;10;HM8HB7;SI;buena;exigentes;75
La Libertad;7070;2973;7676;17719;3189.42;13;7W8ZWP;NO;deficiente;leales ;25
La Libertad;7249;3394;6995;17638;3174.84;8;8XZ7SC;SI;exelente ;exigentes;72
Amazonas;2184;3520;7085;12789;2302.02;17;48PEWB;NO;buena;leales ;33
Madre de Dios;1083;3740;4761;9584;1725.12;24;C7C388;SI;deficiente;exigentes;73
La Libertad;3236;1453;3541;8230;1481.4;43;8WPWZG;SI;exelente ;leales ;43
Junin;4703;2428;2262;9393;1690.74;6;ZCPMDZ;SI;buena;leales ;59
Tumbes;2354;3893;5753;12000;2160;29;P4CCIC;NO;exelente ;indecisos;26
Pasco;6807;1691;5530;14028;2525.04;9;GIQZY4;NO;estandar;exigentes;77
Lima;3602;3790;4209;11601;2088.18;9;PPPZAA;SI;buena;indecisos;71
Tacna;5753;4761;7331;17845;3212.1;43;S4E4SQ;NO;estandar;indecisos;47
Cajamarca;1489;2586;6104;10179;1832.22;49;7SMEM3;SI;estandar;indecisos;73
Lima;2487;2814;5710;11011;1981.98;10;DZESX7;SI;exelente ;leales ;35
San Martin;5978;936;5475;12389;2230.02;46;87H4QE;NO;deficiente;exigentes;36
Arequipa;5645;4976;6328;16949;3050.82;16;37I7W7;NO;buena;leales ;58
Lambayeque;3361;2787;7549;13697;2465.46;25;X8QWBW;NO;exepcional;exigentes;73
Huanuco;2129;3213;1081;6423;1156.14;43;MBPAMC;NO;buena;leales ;73
Ancash;2476;2548;2580;7604;1368.72;24;7CAAIA;NO;deficiente;indecisos;69
Lima;1987;1793;3910;7690;1384.2;40;AHP38W;NO;deficiente;indecisos;42
Loreto;6461;2045;1122;9628;1733.04;27;S7S7CD;NO;deficiente;indecisos;23
Lima;9473;1793;7836;19102;3438.36;10;7IMI7I;SI;exelente ;indecisos;23
Amazonas;7129;1594;5480;14203;2556.54;15;SBD34I;SI;deficiente;exigentes;76
Lima;7450;1854;2671;11975;2155.5;43;S4DS7D;NO;deficiente;exigentes;26
Apurimac;7878;2233;1436;11547;2078.46;5;3XH8MY;NO;deficiente;leales ;78
La Libertad;9136;926;3826;13888;2499.84;19;84X47S;SI;deficiente;indecisos;61
Huancavelica;4126;3185;3141;10452;1881.36;11;MZH478;SI;exelente ;leales ;41
Lima;4303;3030;7285;14618;2631.24;15;P3DMQG;SI;exelente ;indecisos;57
Huancavelica;1597;3397;2070;7064;1271.52;42;7IAMWS;NO;exepcional;leales ;78
Cuzco;8564;2089;4587;15240;2743.2;26;QGZMHG;NO;exepcional;exigentes;40
Cuzco;2683;3187;985;6855;1233.9;17;Q8DWPY;SI;exepcional;leales ;52
Huancavelica;9329;1220;5499;16048;2888.64;13;MHSAQP;SI;deficiente;leales ;38
Ica;9460;1134;1520;12114;2180.52;44;7BZC8X;NO;exelente ;leales ;34
Lambayeque;9645;1591;3738;14974;2695.32;26;WMM4Z7;SI;buena;indecisos;76
Tacna;2617;2930;7504;13051;2349.18;9;PCXAWY;NO;exelente ;leales ;20
San Martin;8346;1124;4700;14170;2550.6;9;87CYXE;NO;exepcional;indecisos;33
Tumbes;8214;3128;5726;17068;3072.24;29;YH7DHM;SI;buena;leales ;20
Amazonas;8646;4634;4842;18122;3261.96;5;47XSYQ;NO;estandar;indecisos;38
Piura;3993;1125;7331;12449;2240.82;47;DIB3DI;NO;estandar;exigentes;55
La Libertad;6602;1527;2719;10848;1952.64;4;7ZQHSQ;NO;exepcional;indecisos;62
Piura;3628;1330;5622;10580;1904.4;15;4ZXMWM;SI;estandar;indecisos;38
Apurimac;5780;3609;6342;15731;2831.58;50;QSGPSI;SI;exepcional;exigentes;21
Lima;8048;1238;6862;16148;2906.64;36;PPPMS7;SI;exelente ;exigentes;51
Ucayali;1432;4863;1910;8205;1476.9;6;HXZEA7;NO;exelente ;leales ;22
Lima;1121;1797;3985;6903;1242.54;4;GG7YCI;NO;deficiente;indecisos;47
Ica;9477;4942;2901;17320;3117.6;11;8ID3D8;SI;exelente ;leales ;31
Lima;7434;4855;2885;15174;2731.32;28;YY7IEM;SI;buena;leales ;80
Loreto;7971;2469;3843;14283;2570.94;10;IMPBGY;NO;buena;indecisos;54
Tumbes;9353;3789;5338;18480;3326.4;28;IG3I4X;SI;deficiente;indecisos;61
Ayacucho;5585;2105;7521;15211;2737.98;21;IIYCCZ;SI;exelente ;leales ;39
Pasco;2950;4664;2939;10553;1899.54;9;PYA4WA;NO;exepcional;indecisos;43
Loreto;3472;1349;3938;8759;1576.62;49;MDHDIE;SI;estandar;indecisos;22
Cajamarca;7902;2519;7615;18036;3246.48;16;E7ICZB;NO;buena;indecisos;40
Huanuco;7155;4764;1220;13139;2365.02;43;CXC4MC;NO;buena;exigentes;48
Cuzco;4874;3942;2661;11477;2065.86;47;B3BBSE;SI;exelente ;leales ;75
Huancavelica;7963;1697;5995;15655;2817.9;18;4DBBP8;SI;exepcional;leales ;37
Ica;8937;2683;3775;15395;2771.1;35;IHE7YH;NO;estandar;leales ;61
Lambayeque;7521;3598;7369;18488;3327.84;15;MHACWB;NO;buena;exigentes;71
Lima;8565;4351;4173;17089;3076.02;3;CSXMBW;SI;estandar;exigentes;51
Cajamarca;6492;1349;6392;14233;2561.94;18;EDYC7D;NO;exepcional;exigentes;78
Pasco;1053;1946;4322;7321;1317.78;18;ISWBPC;NO;exelente ;exigentes;54
Tumbes;2840;2686;4546;10072;1812.96;40;8Z8DQG;SI;exelente ;exigentes;43
Lima;5354;3243;4771;13368;2406.24;39;QCBD34;SI;exelente ;exigentes;66
La Libertad;9714;4551;4209;18474;3325.32;41;W7G748;SI;buena;indecisos;62
Tacna;5521;1143;2537;9201;1656.18;23;BZDYCD;NO;exelente ;exigentes;73
Lima;2053;1943;2325;6321;1137.78;25;4Y8MGW;NO;exelente ;indecisos;25
Lima;8335;2038;5653;16026;2884.68;8;WY7EZH;SI;buena;indecisos;36
Amazonas;8922;3437;1241;13600;2448;3;GQCSW8;SI;exepcional;leales ;56
Junin;9029;4261;4836;18126;3262.68;18;EMCB8W;NO;estandar;exigentes;25
Ayacucho;1665;3118;4039;8822;1587.96;22;ZAZCWG;NO;estandar;leales ;78
Ucayali;7151;2712;7306;17169;3090.42;8;8GHMWB;NO;exelente ;indecisos;55
Ucayali;1843;4504;6640;12987;2337.66;42;ZQWCSS;NO;buena;indecisos;67
Ancash;5472;3805;5484;14761;2656.98;43;Y7ZXMS;NO;deficiente;indecisos;80
Tumbes;9870;1115;3173;14158;2548.44;35;3MWBBM;SI;buena;indecisos;54
Cajamarca;5342;1348;6247;12937;2328.66;38;H7XIXC;NO;deficiente;leales ;33
Tacna;1071;3369;1910;6350;1143;3;SQAEMQ;NO;estandar;indecisos;29
San Martin;8955;3906;960;13821;2487.78;34;EBEG7X;SI;exepcional;leales ;73
Pasco;3438;1805;6051;11294;2032.92;29;WX7PPW;SI;estandar;leales ;50
Lima;8410;2697;6504;17611;3169.98;27;B44HXP;NO;estandar;exigentes;40
Huanuco;2890;3913;4660;11463;2063.34;8;P3B8AI;SI;buena;indecisos;77
Loreto;9949;3130;6834;19913;3584.34;7;DSCXY7;SI;buena;leales ;45
La Libertad;7706;2547;5631;15884;2859.12;40;WAHI4E;NO;deficiente;leales ;55
Cuzco;9876;1746;7197;18819;3387.42;44;H4GDD7;NO;exepcional;indecisos;46
Cuzco;7361;4441;3793;15595;2807.1;35;8IB8WS;SI;estandar;leales ;79
Moquegua;6530;2759;1129;10418;1875.24;50;XC7WWP;NO;buena;indecisos;58
Amazonas;2992;3379;1740;8111;1459.98;49;ZHEMDZ;SI;exepcional;leales ;63
Puno;8912;1917;1706;12535;2256.3;21;3EIE74;SI;exepcional;leales ;20
Ayacucho;6306;3191;1735;11232;2021.76;46;GDGCQB;SI;deficiente;leales ;31
Loreto;1973;1062;4893;7928;1427.04;39;ZEPGAC;NO;estandar;leales ;67
Apurimac;1656;4266;6602;12524;2254.32;37;EH38AA;SI;exelente ;leales ;62
Junin;2245;4835;1548;8628;1553.04;34;8XGXHC;SI;estandar;leales ;23
Moquegua;8573;4482;982;14037;2526.66;46;HGWZC8;SI;buena;indecisos;46
Ucayali;2992;3174;5065;11231;2021.58;13;Q8C7SS;NO;estandar;leales ;69
Pasco;3010;1622;5161;9793;1762.74;32;QSDDPM;NO;buena;indecisos;46
Tumbes;5172;1084;4956;11212;2018.16;13;MHM4QA;SI;exelente ;exigentes;61
Junin;7162;1353;2857;11372;2046.96;50;CP3YMW;SI;exepcional;indecisos;62
Ica;3407;2938;5471;11816;2126.88;19;ZICB3Q;NO;exepcional;leales ;76
Lima;8152;996;4303;13451;2421.18;37;IMWIZI;SI;exepcional;indecisos;74
Puno;5093;4187;6529;15809;2845.62;17;YGA8BM;SI;exelente ;exigentes;48
Huancavelica;6344;2150;2280;10774;1939.32;44;YBMX8X;NO;exepcional;leales ;33
Cajamarca;6982;4491;3206;14679;2642.22;19;DWHXIB;NO;exepcional;leales ;73
Tacna;1319;1040;2490;4849;872.82;43;CYSECB;NO;exepcional;indecisos;69
Cajamarca;9081;2317;4866;16264;2927.52;26;WPAEI8;SI;exepcional;leales ;49
Piura;1969;4605;4279;10853;1953.54;36;YYA8CG;SI;exelente ;leales ;55
Arequipa;2938;2947;2601;8486;1527.48;18;WDPSIA;SI;deficiente;indecisos;54
Amazonas;2773;1329;2578;6680;1202.4;38;PBGSHG;SI;exepcional;indecisos;73
La Libertad;5152;4495;4739;14386;2589.48;6;3GGAHY;NO;estandar;indecisos;66
Apurimac;3248;2729;6271;12248;2204.64;41;QCQAEZ;SI;exelente ;indecisos;51
Ancash;6939;4390;4332;15661;2818.98;7;YDC3H7;SI;exepcional;indecisos;72
Arequipa;1755;4435;5699;11889;2140.02;5;DIZPGB;SI;estandar;leales ;54
Lambayeque;5504;1795;2586;9885;1779.3;31;MHYDX8;SI;exepcional;exigentes;64
Apurimac;7092;4140;6897;18129;3263.22;29;MBWMMM;SI;deficiente;indecisos;71
Loreto;8469;2615;7533;18617;3351.06;16;BCG8IQ;SI;buena;indecisos;67
Arequipa;9378;2057;1131;12566;2261.88;8;HQI747;NO;exelente ;exigentes;54
Ayacucho;4775;3247;3720;11742;2113.56;10;8DBXMQ;NO;exelente ;leales ;80
Tacna;5386;3990;5668;15044;2707.92;16;SPZZAB;SI;deficiente;exigentes;53
Moquegua;7873;4404;7112;19389;3490.02;15;IGWWZA;NO;estandar;leales ;24
Cuzco;1038;4424;4906;10368;1866.24;8;YMBIQI;NO;buena;leales ;69
Loreto;2241;3124;1284;6649;1196.82;12;ZGXISY;NO;deficiente;exigentes;39
Apurimac;6103;2995;7070;16168;2910.24;27;ICMQ4E;SI;exepcional;exigentes;74
Moquegua;7574;3597;2593;13764;2477.52;26;XAE8IP;NO;estandar;leales ;63
Huanuco;5154;2604;7873;15631;2813.58;25;Y8IZB3;NO;exelente ;indecisos;29
Loreto;3351;3341;6180;12872;2316.96;25;YM3IZB;SI;deficiente;exigentes;51
Lambayeque;1815;4857;4825;11497;2069.46;9;ZMAWYD;SI;exelente ;leales ;76
Madre de Dios;7420;1155;1433;10008;1801.44;46;W4P3B7;NO;exelente ;exigentes;51
Lima;2206;996;5582;8784;1581.12;46;E3C8YX;NO;exepcional;indecisos;29
Cajamarca;5168;4458;3402;13028;2345.04;33;C3WD7W;SI;exelente ;indecisos;40
Tumbes;9265;1838;4311;15414;2774.52;50;3SIPSZ;SI;exelente ;leales ;53
Puno;6928;3104;7392;17424;3136.32;13;H8XZIE;SI;estandar;exigentes;62
Puno;5500;2980;4575;13055;2349.9;39;EAMCGB;SI;exelente ;exigentes;46
Lima;5257;4974;4003;14234;2562.12;32;PMH4CD;NO;deficiente;leales ;53
Apurimac;3126;3961;4947;12034;2166.12;13;P83P8W;SI;exepcional;leales ;31
Junin;7611;1486;7586;16683;3002.94;17;MQ34WG;NO;estandar;indecisos;76
Apurimac;4890;4178;5943;15011;2701.98;33;CPMWWB;SI;exelente ;indecisos;72
Moquegua;7631;968;2632;11231;2021.58;24;ZXIGDD;SI;exepcional;indecisos;43
Amazonas;8899;4927;4665;18491;3328.38;35;HQZPPI;SI;estandar;leales ;53
Ancash;6278;2711;4707;13696;2465.28;11;WBY7QC;NO;deficiente;exigentes;80
Amazonas;3571;2649;4939;11159;2008.62;30;B8XAZX;SI;estandar;leales ;61
Huancavelica;1054;1918;2375;5347;962.46;41;PHQISB;NO;exepcional;indecisos;74
Arequipa;1920;2502;1195;5617;1011.06;46;ZY33D4;NO;estandar;exigentes;42
San Martin;4949;4322;3623;12894;2320.92;23;IC7SAH;SI;deficiente;exigentes;72
Tacna;5231;3761;5240;14232;2561.76;13;GAZS3I;SI;estandar;leales ;43
